"review-data href","audience-reviews__name","audience-reviews__name href","audience-reviews__duration","audience-reviews__review","Sentiment"
"https://www.rottentomatoes.com/profiles/m8mTOQUbWuaQHkpFdxiQZixecVVCodIxRCRGcONfLLCZoibjubqfeWfzzC2MFD8Iq6tQnSPPCKDuzNcXZTPOFmkt8YFDNFkOh4bulaFGPS9Q","Scott  B","https://www.rottentomatoes.com/profiles/m8mTOQUbWuaQHkpFdxiQZixecVVCodIxRCRGcONfLLCZoibjubqfeWfzzC2MFD8Iq6tQnSPPCKDuzNcXZTPOFmkt8YFDNFkOh4bulaFGPS9Q","Apr 25, 2024","This movie is a stunning, visual masterpiece. A cinematic landmark. It is marred only by the fact that the plotting is a bore. The novel is an intricate world with multiple conflicts and story threads. But this movie doesn't translate those characters and conflicts into a dramatic story. Some say Paul is the chosen one, some say he's not   - -he gets put through the wringer,  and then guess what? That's the film in a nutshell though a spoiler wouldn't ruin anything for you because you need to see this film and experience it for the genius and craft of a master filmmaker.","1"
"https://www.rottentomatoes.com/profiles/1KVSeOIxWSpAixbi6QhdQi4aFQQCrMFgoSJLsBwHNNC2xi2DfPouWKuvvCkduJRTKyt1mTzzCGDtzgfmBCBZsGWFO1hbjSkwuxWF2KivBIjn","alan t","https://www.rottentomatoes.com/profiles/1KVSeOIxWSpAixbi6QhdQi4aFQQCrMFgoSJLsBwHNNC2xi2DfPouWKuvvCkduJRTKyt1mTzzCGDtzgfmBCBZsGWFO1hbjSkwuxWF2KivBIjn","Apr 25, 2024","Seen all this before. Star Wars in the desert. Zendaya is beautiful but I never buy her attempts at acting. The rest of 'em did their jobs well, though. No new ground broken with this one, but an OK watch.","0"
"https://www.rottentomatoes.com/profiles/pZKsMJIk1HzRcDYtkatpDi0YtRRC92sYWuXbSbzCbbCWgiqyCpque8fNNCM2FyDFryF8MIkkC2wSLpudZCxRc62FeDIkXuzMH14fD4HlLiw9","Drew F","https://www.rottentomatoes.com/profiles/pZKsMJIk1HzRcDYtkatpDi0YtRRC92sYWuXbSbzCbbCWgiqyCpque8fNNCM2FyDFryF8MIkkC2wSLpudZCxRc62FeDIkXuzMH14fD4HlLiw9","Apr 25, 2024","Zpoiler Alert: Wonka helps save the Universe from the Spice Boiz. Pretty Boy slaps the Bad Baldies back to Zeta Reticuli!","1"
"https://www.rottentomatoes.com/profiles/r8WSOLTLqfpmtdpIQNhVbfGZfZZCPAulouRofVXHGGCZQiVotwPtDnhmmCmDuw9CeOubYcggC4gHO4hvKuDKtK6CZgubGIQVSV1fKjtxRCyZ","Campolongo C","https://www.rottentomatoes.com/profiles/r8WSOLTLqfpmtdpIQNhVbfGZfZZCPAulouRofVXHGGCZQiVotwPtDnhmmCmDuw9CeOubYcggC4gHO4hvKuDKtK6CZgubGIQVSV1fKjtxRCyZ","Apr 25, 2024","Question: Is Denis Villeneuve the most overrated director of the world?
Answer: Yes! (He even destroyed ""Blade Runner"").","0"
"https://www.rottentomatoes.com/profiles/AlPH2oUG0HJNspPf6NTYnFKbHaaC2VF8lHqlfkQuaaCyriWeF6YHr4i11CBvFnaFXpTm8C99CmatOqHnxubvS8KieMC6aSGKuamhd6ImPTj9","Nicholas S","https://www.rottentomatoes.com/profiles/AlPH2oUG0HJNspPf6NTYnFKbHaaC2VF8lHqlfkQuaaCyriWeF6YHr4i11CBvFnaFXpTm8C99CmatOqHnxubvS8KieMC6aSGKuamhd6ImPTj9","Apr 24, 2024","Honestly I enjoyed the first more. They are both decent movies, but I feel they try too hard to appease those who read the book. To no avail I might add. They go into too much minute detail that feels better suited for a directors cut. These precious minutes could of kept the flow much smoother and more palatable for the average audience. Personally I don't like the visuals entirely because there's not enough color. I think it's deliberate to highlight the eyes but it's a detail that makes all the good work done seem a little more drab. All that said there is enough story progression and new information to keep the saga entraining. Though the obvious savior complex going on is soooo annoying.","1"
"https://www.rottentomatoes.com/profiles/yrJSYRHjgfKlHMXtPgiQ0urzCjjCBwTeyTznipKF66CjAiBeFZbINqIzzC60iPyF1dIWzixxClPt4Dh8oCz2CWvCD4SaPteMswquONs2pHa4","Jamey S","https://www.rottentomatoes.com/profiles/yrJSYRHjgfKlHMXtPgiQ0urzCjjCBwTeyTznipKF66CjAiBeFZbINqIzzC60iPyF1dIWzixxClPt4Dh8oCz2CWvCD4SaPteMswquONs2pHa4","Apr 24, 2024","If you actually read the books how can you think the movie is anything but a poorly rewritten bastardize version of the books.  They significantly changes out major characters for no reason and dumbed down the freman.  If you really want to see a version that is worth watching checkout the two miniseries that followed the books and were much more visually stunning.  This version was a waste of my time and money.  That fact it has such high ratings must be due to people who never read the books.","0"
"","Jack S.","","Apr 24, 2024","It was disjointed and slow, and they are setting us up for Dune III.  The original Dune  with Kyle McLaughlin was much better.","0"
"","David M","","Apr 24, 2024","Stunning visuals and great character development","1"
"https://www.rottentomatoes.com/profiles/jkjSdNtG9TBJtjxieNCnQujLc00CdMsn1CXNuVZiLLCWbidAHzwiKWHDDCAnIGqFkLhoqHXXClnu9acWKcmahM6tkliNRs4wF9yIavIrkIwn","Ñam Ñam B","https://www.rottentomatoes.com/profiles/jkjSdNtG9TBJtjxieNCnQujLc00CdMsn1CXNuVZiLLCWbidAHzwiKWHDDCAnIGqFkLhoqHXXClnu9acWKcmahM6tkliNRs4wF9yIavIrkIwn","Apr 24, 2024","The buzz surrounding the movie was definitely justified when considering it as a whole. Paul's character development and the significant change he undergoes in this film deserve recognition. Unlike Hayden Christensen's portrayal of Anakin/Vader, Timothee's performance doesn't fall into the trap of making Paul seem like a spoiled kid. The visuals and locations are top-notch with stunning scenery throughout the movie. While the plot may not be the most intricate and you might have a sense of where it's headed, the film still keeps you hooked until the end, offering a fresh and engaging experience. Personally, I feel that the Harkonnen cousins (sorry, their names escape me) deserved more screen time or at least more memorable deaths, given the praise they received from fans and media. Overall, both Dune movies together make for a fantastic viewing session, although they might not reach epic status or be remembered for years to come. But if you're considering watching them, I say go for it—both movies are definitely worth it for their captivating visuals alone.","1"
"","","","Apr 24, 2024","Disappointing. Bored most of the movie. Did not agree with their vision of Arrakis, sandworms, relationships of characters, etc., but better than 1980’s version.","0"
